,Console,Review,Score,Name
0,PC,Early Access,6,Baldur's Gate 3 Early Access 
1,NS,Good,7,Control: Ultimate Edition Cloud Version 
2,"XONE, PC, PS4",Good,7,Doom Eternal: The Ancient Gods Part 1 
3,"XONE, PC, PS4",Great,8,Watch Dogs: Legion 
4,PC,Great,8,Ring Of Pain 
5,NS,Great,8,Pikmin 3 Deluxe 
6,"PC, XONE, PS4",Good,7,Ghostrunner 
7,"PC, NS",Great,8,Disc Room 
8,"XONE, PS4",Superb,9,NHL 21 
9,PC,Good,7,Noita 
10,PC,Great,8,Amnesia: Rebirth 
11,"PC, PS4",Good,7,Genshin Impact 
12,"PC, XONE, PS4, NS",Fair,6,Ikenfell 
13,NS,Superb,9,Ring Fit Adventure 
14,"XONE, PC, PS4",Good,7,Star Wars: Squadrons 
15,"NS, NS",Good,7,Mario Kart Live: Home Circuit 
16,PC,Good,7,I Am Dead 
17,PS4,Great,8,FIFA 21 
18,NS,Good,7,Super Mario Bros. 35 
19,PC,Good,7,The Solitaire Conspiracy 
20,"XONE, PS4",Great,8,Crash Bandicoot 4 
21,NS,Fair,6,Kirby Fighters 2 
22,PC,Fair,6,Pendragon 
23,PC,Good,7,Serious Sam 4 
24,PS4,Fair,6,NBA 2K21 
25,PC,Great,8,Crusader Kings 3 
26,PS4,Great,8,Spelunky 2 
27,PC,Fair,6,Mafia: Definitive Edition 
28,PC,Fair,6,Surgeon Simulator 2 
29,"PC, NS",Superb,9,Hades 
30,PS4,Superb,9,13 Sentinels: Aegis Rim 
31,NS,Great,8,Super Mario 3D All-Stars 
32,PC,Terrible,2,Road To Guangdong 
33,"PC, PS4, XONE, NS",Fair,6,Vampire: The Masquerade - Shadows Of New York 
34,PS4,Great,8,Othercide 
35,PC,Good,7,Marvel's Avengers 
36,"XONE, PC",Good,7,Tell Me Why 
37,NS,Great,8,Moon 
38,PC,Great,8,Star Renegades 
39,NS,Great,8,The Last Campfire 
40,"PS4, XONE",Superb,9,Tony Hawk's Pro Skater 1 + 2 
41,"PC, NS",Superb,9,Paradise Killer 
42,"PC, PS4, NS",Great,8,Evergate 
43,PS4,Fair,6,Madden 21 
44,"PC, NS",Superb,9,A Short Hike 
45,"PS4, PC, XONE",Good,7,Project Cars 3 
46,PC,Fair,6,Control AWE DLC 
47,PS4,Mediocre,5,Windbound 
48,PC,Mediocre,5,Thousand Threads 
49,PC,Superb,9,Spiritfarer 
50,"PC, NS",Good,7,No Straight Roads 
51,PC,Superb,9,Microsoft Flight Simulator 
52,IOS,Bad,3,Next Stop Nowhere 
53,PS4,Great,8,PGA Tour 2K21 
54,PC,Superb,9,Dead By Daylight 
55,PC,Great,8,Mortal Shell 
56,PC,Mediocre,5,Skater XL 
57,PC,Fair,6,Battletoads 
58,"PC, XONE",Fair,6,Hyper Scape 
59,PC,Good,7,A Total War Saga: Troy 
60,PC,Great,8,Risk Of Rain 2 
61,"PC, PS4",Good,7,Fall Guys: Ultimate Knockout 
62,PC,Mediocre,5,Skully 
63,PC,Superb,9,Umurangi Generation 
64,PC,Great,8,Littlewood 
